"id","page_id","data_type_code"
3223,37597,"MSWORD"
3224,48156,"VND.MS-EXCEL"
3226,59245,"MSWORD"
3231,55348,"PNG"
3232,55413,"PNG"
3233,24744,"PDF"
3235,64162,"PDF"
3236,39828,"ZIP"
3237,41027,"DOC"
3238,46094,"XML"
3240,55758,"ZIP"
3243,49854,"PDF"
3244,29096,"ZIP"
3247,35751,"PDF"
3248,27547,"PDF"
3251,37653,"DOC"
3252,36243,"ZIP"
3253,46036,"XML"
3255,46887,"PDF"
3258,47048,"PDF"
3259,46692,"PDF"
3261,39785,"ZIP"
3262,38250,"PDF"
3263,62438,"PDF"
3264,55984,"DOC"
3265,46120,"PDF"
3266,36882,"PDF"
3267,40935,"DOC"
3268,62488,"JPEG"
3269,35131,"PDF"
3271,45847,"XML"
3273,46940,"PDF"
3274,47086,"VND.MS-EXCEL"
3275,36517,"OCTET-STREAM"
3279,46551,"MSWORD"
3280,59430,"JPEG"
3281,56170,"PDF"
3282,62622,"JPEG"
3283,35973,"PDF"
3286,24790,"PDF"
3290,38933,"PDF"
3296,25446,"PDF"
3297,36544,"VND.MS-EXCEL"
3298,34966,"PDF"
3304,48406,"DOC"
3305,38636,"PDF"
3310,38283,"PDF"
3311,36869,"PDF"
3312,56466,"DOC"
3314,45988,"XML"
3316,39856,"ZIP"
3324,38447,"PDF"
3325,56543,"PDF"
3328,62696,"MSWORD"
3331,36508,"X-ZIP-COMPRESSED"
3332,44750,"PDF"
3333,36199,"PDF"
3334,64393,"PNG"
3335,56569,"JPEG"
3336,59633,"PNG"
3337,32145,"JPEG"
3338,44659,"PDF"
3339,62706,"PNG"
3340,25133,"PDF"
3341,45564,"PDF"
3355,45821,"X-RSS+XML"
3363,46687,"PDF"
3364,38683,"DOC"
3365,43164,"PDF"
3366,38877,"PDF"
3369,46671,"PDF"
3370,38674,"PDF"
3372,38650,"DOC"
3373,46668,"PDF"
3374,46724,"PDF"
3382,25130,"PDF"
3383,48247,"PDF"
3384,38595,"PDF"
3385,37354,"PDF"
3387,64772,"VND.MS-POWERPOINT"
3388,38661,"PDF"
3389,36481,"VND.MS-EXCEL"
3390,45348,"PDF"
3391,39557,"PDF"
3392,40930,"PNG"
3393,39871,"ZIP"
3394,45340,"PDF"
3399,35036,"DOC"
3400,35997,"PDF"
3401,25279,"PDF"
3403,38937,"PDF"
3411,56730,"PDF"
3415,31535,"MSWORD"
3416,50699,"MSWORD"
3417,45544,"PDF"
3418,48270,"PDF"
3419,46223,"PDF"
3427,62796,"PDF"
3436,62857,"PDF"
3438,62894,"CSV;CHARSET=UTF-8"
3439,38666,"PDF"
496,37052,"PKIX-CRL"
508,37731,"PDF"
520,24607,"PDF"
527,38402,"PDF"
547,27298,"DOC"
550,27729,"DOC"
1566,36306,"MSWORD"
1567,46257,"PDF"
1569,45729,"XML"
1575,48516,"PDF"
1577,39509,"PDF"
1579,35908,"PDF"
1580,47812,"DOC"
1584,45863,"X-RSS+XML"
1586,48148,"VND.MS-EXCEL"
1588,37656,"PDF"
1589,37738,"PDF"
1592,39194,"VND.MS-POWERPOINT"
1606,27189,"PDF"
1607,38892,"PDF"
1611,45717,"XML"
1619,48994,"MSWORD"
1622,49031,"PDF"
1628,49077,"PDF"
1629,44079,"PDF"
1639,25458,"PDF"
1650,35876,"DOC"
1652,36598,"DOC"
1653,44448,"PDF"
1657,37664,"PDF"
1661,36498,"JPEG"
1662,35102,"PDF"
1663,47382,"PDF"
1701,38164,"PDF"
1717,45558,"PDF"
1720,47460,"PDF"
3140,53596,"X-X509-CA-CERT"
3142,26596,"PDF"
3143,37541,"PDF"
3144,27181,"PDF"
3145,53603,"PNG"
3146,61375,"PDF"
3147,44724,"JPEG"
3148,58487,"DOC"
3149,58491,"JPEG"
3151,40927,"PNG"
3152,44013,"DOC"
3153,48155,"FORCE-DOWNLOAD"
3157,44657,"MSWORD; CHARSET=UTF-"
3159,44639,"JPEG"
3161,53771,"DOC"
3167,40064,"DOC"
3168,38924,"PDF"
3169,40284,"PDF"
3170,36128,"PLAIN; CHARSET=UTF-8"
3171,58745,"PDF"
3172,58783,"JPEG"
3173,45712,"X-RSS+XML"
3174,58830,"CSV;CHARSET=UTF-8"
3175,54011,"DOC"
3176,63786,"PDF"
3182,61693,"PDF"
3183,37317,"PDF"
3184,44625,"JPEG"
3188,39636,"PDF"
3189,24793,"PDF"
3190,48729,"PDF"
3191,63839,"JPEG"
3192,36908,"ZIP"
3193,27881,"PDF"
3194,45971,"X-RSS+XML"
3195,48038,"DOC"
3196,47524,"PDF"
3197,49011,"PDF"
3200,54801,"PDF"
3202,54816,"PDF"
3203,36494,"OCTET-STREAM"
3204,54827,"JPEG"
3205,49078,"PNG"
3206,55009,"PDF"
3207,23117,"PNG"
3208,27179,"PDF"
3209,36290,"JPEG"
3211,62127,"JPEG"
3212,44806,"DOC"
3217,59187,"DOC"
3225,62225,"JPEG"
3227,25564,"JPEG"
3228,24743,"PDF"
3229,59277,"PDF"
3230,45331,"PDF"
3234,59300,"PDF"
3239,49809,"JPEG"
3241,55777,"PNG"
3242,55807,"JPEG"
3245,59354,"DOC"
3246,46400,"DOC"
3249,49917,"JPEG"
3250,55855,"PDF"
3254,27360,"DOC"
3256,45714,"XML"
3257,38878,"PDF"
3260,47451,"PDF"
3270,38173,"DOC"
3272,39795,"ZIP"
3276,48014,"PDF"
3277,56101,"MSWORD"
3278,46000,"XML"
3284,45980,"X-RSS+XML"
3285,26602,"PDF"
3287,45805,"XML"
3288,39775,"ZIP"
3289,23311,"PDF"
3291,36872,"PDF"
3292,46247,"MSWORD"
3293,64337,"DOC"
3294,45920,"X-RSS+XML"
3295,36910,"PDF"
3299,44641,"JPEG"
3300,46954,"PDF"
3301,38289,"PDF"
3302,56329,"PNG"
3303,27930,"PDF"
3306,43242,"PDF"
3307,36113,"DOC"
3308,37143,"MSWORD"
3309,36129,"PKIX-CRL"
3313,38873,"PDF"
3315,44643,"PDF"
3317,38377,"PDF"
3318,48428,"DOC"
3319,24766,"PDF"
3320,35915,"PDF"
3321,47114,"DOC"
3322,59592,"JPEG"
3323,45922,"XML"
3326,45928,"XML"
3327,25182,"ZIP"
3329,38588,"PDF"
3330,40036,"POSTSCRIPT"
3342,46883,"PDF"
3343,38645,"PDF"
3344,39972,"ZIP"
3345,36482,"PJPEG"
3346,48069,"DOC"
3347,22849,"PNG"
3348,46064,"X-RSS+XML"
3349,27244,"DOC"
3350,29338,"DOC"
3351,45869,"X-RSS+XML"
3352,38376,"PDF"
3353,56604,"JPEG"
3354,38202,"DOC"
3356,36009,"PDF"
3357,62751,"MSWORD"
3358,56643,"PDF"
3359,34839,"DOC"
3360,64582,"DOC"
3361,47448,"PDF"
3362,39569,"PDF"
3367,48257,"PDF"
3368,45718,"X-RSS+XML"
3371,64598,"CSV;CHARSET=UTF-8"
3375,45781,"XML"
3376,64625,"JPEG"
3377,64689,"XML;CHARSET=UTF-8"
3378,46757,"JPEG"
3379,50580,"MSWORD"
3380,48034,"DOC"
3381,47377,"JPEG"
3386,47186,"PDF"
3395,44294,"PDF"
3396,41408,"PDF"
3397,25128,"JPEG"
3398,41025,"DOC"
3402,36515,"X-ZIP-COMPRESSED"
3404,62758,"MSWORD"
3405,23118,"PNG"
3406,25183,"ZIP"
3407,24754,"PDF"
497,37680,"CSV"
499,37671,"PDF"
513,22839,"PNG"
514,25920,"PDF"
517,37671,"PDF"
536,37379,"CSV"
540,37724,"XML;CHARSET=UTF-8"
546,38951,"MIXED; BOUNDARY=IZRJ"
548,26678,"PDF"
549,28149,"PDF"
555,40223,"PDF"
1568,47815,"PDF"
1572,38848,"PDF"
1576,44595,"PDF"
1578,35119,"PDF"
1585,45428,"PNG"
1591,39789,"ZIP"
1602,46820,"PDF"
1604,48022,"PDF"
1608,48873,"PDF"
1609,45567,"PDF"
1618,48988,"PDF"
1620,48996,"PDF"
1626,49064,"PDF"
1633,44573,"DOC"
1634,45130,"DOC"
1636,36296,"JPEG"
1645,46261,"PDF"
1651,26388,"PDF"
1665,36114,"PDF"
1671,24792,"VND.MS-EXCEL"
1672,46312,"PDF"
1673,38860,"PDF"
1700,48405,"DOC"
1705,26687,"PDF"
1706,29960,"PDF"
1709,49976,"CSV;CHARSET=UTF-8"
1719,46934,"PDF"
1723,45872,"X-RSS+XML"
1729,44478,"PDF"
1731,45726,"XML"
1733,27079,"DOC"
3408,38677,"PDF"
3409,35897,"PDF"
3410,56731,"DOC"
3412,29339,"DOC"
3413,39585,"PDF"
3414,39643,"PDF"
3420,48403,"DOC"
3421,48160,"VND.MS-EXCEL"
3422,36308,"JPEG"
3423,26610,"PNG"
3424,40068,"MSWORD"
3425,39902,"ZIP"
3426,35096,"PDF"
3428,37542,"PDF"
3429,39921,"ZIP"
3430,43037,"MSWORD"
3431,62836,"PNG"
3432,45995,"X-RSS+XML"
3433,50791,"MSWORD"
3434,62846,"CSV;CHARSET=UTF-8"
3435,27993,"PDF"
3437,27241,"DOC"
3440,38654,"PDF"
3442,23124,"PNG"
3445,47083,"DOC"
3446,45931,"XML"
3447,46704,"PDF"
3448,27413,"XML"
3449,36384,"MSWORD"
3452,44020,"PDF"
3453,45944,"X-RSS+XML"
3454,27171,"PDF"
3455,35911,"PDF"
3458,45538,"DOC"
3459,45788,"X-RSS+XML"
3460,46004,"X-RSS+XML"
3462,36230,"JPEG"
3463,44948,"PDF"
3464,35939,"PDF"
3469,51139,"JPEG"
3470,38590,"PDF"
3471,38242,"PDF"
3474,39632,"PDF"
3475,47992,"PDF"
3476,46208,"PDF"
3477,39506,"PDF"
4357,64700,"DOC"
4358,40269,"PDF"
4371,62848,"CSV;CHARSET=UTF-8"
4375,71566,"PNG"
4386,57308,"CSV;CHARSET=UTF-8"
4387,73355,"MSWORD"
4388,27194,"DOC"
4413,60785,"CSV;CHARSET=UTF-8"
4418,39745,"MSWORD"
4422,74108,"CSV;CHARSET=UTF-8"
4424,24811,"MSWORD"
4425,74165,"PDF"
4429,70246,"JPEG"
4431,70325,"PDF"
4437,31507,"PDF"
4446,54014,"DOC"
4448,39943,"ZIP"
4449,36607,"DOC"
4471,64082,"PNG"
4488,67378,"ZIP"
4489,70864,"PKCS12"
4491,62282,"PDF"
4492,70884,"PDF"
4507,48418,"DOC"
4516,62754,"PDF"
4517,56646,"PDF"
4531,62849,"CSV;CHARSET=UTF-8"
4535,71808,"PNG"
4577,65471,"PDF"
4583,52415,"PDF"
4620,58368,"PDF"
4624,53019,"PDF"
4661,62128,"JPEG"
4676,37657,"PDF"
4702,75261,"BMP"
4722,72012,"DOC"
4723,51324,"PDF"
4734,45826,"XML"
4737,38907,"PDF"
5013,45883,"XML"
5051,57637,"JPEG"
5053,69333,"XML"
5072,61438,"PDF"
5078,79310,"JPEG"
5106,62755,"MSWORD"
5109,56655,"PDF"
5125,40268,"PDF"
5142,36205,"DOC"
5143,79141,"JPEG"
5145,38240,"PDF"
5147,79774,"DOC"
5157,39342,"DOC"
5173,55766,"ZIP"
5179,79879,"PDF"
5185,76510,"JPEG"
5268,47381,"PDF"
5273,54818,"PDF"
5798,44560,"PDF"
5806,61159,"PDF"
5812,44534,"PDF"
5813,78691,"PDF"
